Sequence_0, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_1, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_2, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_3, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_4, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_5, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_6, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_7, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_8, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_9, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_10, Cluster_0, Distance_0.1864, Novelty_0.1180, Confidence_0.8429, Known-like
Sequence_11, Cluster_0, Distance_0.1531, Novelty_0.0798, Confidence_0.8672, Known-like
Sequence_12, Cluster_0, Distance_0.1892, Novelty_0.1213, Confidence_0.8409, Known-like
Sequence_13, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_14, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_15, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_16, Cluster_0, Distance_0.1728, Novelty_0.1024, Confidence_0.8527, Known-like
Sequence_17, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_18, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_19, Cluster_0, Distance_0.1833, Novelty_0.1144, Confidence_0.8451, Known-like
Sequence_20, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_21, Cluster_0, Distance_0.3156, Novelty_0.2664, Confidence_0.7601, Known-like
Sequence_22, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_23, Cluster_0, Distance_0.1962, Novelty_0.1293, Confidence_0.8360, Known-like
